"X:","Y:","Z:","Roll:","Pitch:","Yaw:","Graph 0"
0.730000,-0.520000,-0.920000,-132.210000,25.730000,-151.220000,2.000000
0.810000,-0.610000,-0.860000,-132.630000,26.350000,-153.010000,39.000000
0.900000,-0.730000,-0.790000,-133.310000,27.270000,-154.840000,85.460000
0.970000,-0.820000,-0.660000,-134.220000,28.470000,-156.790000,0.450000
1.060000,-0.850000,-0.550000,-135.430000,29.970000,-158.820000,0.000000
1.150000,-0.900000,-0.450000,-136.840000,31.690000,-160.890000,0.810000
1.220000,-0.950000,-0.340000,-138.380000,33.640000,-162.940000,0.380000
1.270000,-0.980000,-0.240000,-139.950000,35.800000,-164.930000,0.450000
1.340000,-1.000000,-0.160000,-141.530000,38.210000,-166.950000,0.010000
1.420000,-1.020000,-0.050000,-143.260000,40.950000,-169.020000,-179.820000
1.510000,-1.000000,0.050000,-145.190000,43.810000,-171.220000,0.000000
1.600000,-0.970000,0.170000,-147.380000,46.700000,-173.650000,0.000000
1.670000,-0.930000,0.370000,-150.010000,49.610000,-176.100000,1.000000
1.730000,-0.930000,0.560000,-153.030000,52.430000,-178.620000,-85.420000
1.780000,-0.940000,0.770000,-156.410000,55.170000,178.960000,-179.810000
1.770000,-0.900000,1.310000,-159.970000,57.830000,176.570000,-0.020000
1.700000,-0.870000,1.580000,-163.820000,60.550000,173.950000,0.420000
1.560000,-0.890000,1.830000,-168.200000,63.330000,170.780000,0.000000
1.410000,-0.980000,2.050000,-173.340000,66.050000,167.130000,0.000000
1.270000,-1.110000,2.190000,-178.990000,68.510000,163.270000,0.400000
1.170000,-1.190000,2.260000,175.060000,70.590000,159.590000,-0.020000
1.080000,-1.190000,2.280000,169.220000,72.200000,156.720000,0.000000
1.070000,-1.240000,2.250000,164.170000,73.450000,155.060000,1.000000
1.080000,-1.250000,2.230000,160.310000,74.550000,154.380000,-85.400000
1.100000,-1.200000,2.270000,157.440000,75.750000,154.000000,0.020000
1.100000,-1.120000,2.340000,154.850000,77.250000,153.160000,0.000000
1.020000,-1.020000,2.370000,151.820000,79.090000,151.660000,0.390000
0.910000,-0.920000,2.370000,148.180000,81.180000,149.910000,-85.360000
0.840000,-0.860000,2.380000,144.450000,83.420000,148.330000,36.000000
0.760000,-0.760000,2.360000,141.150000,85.740000,148.300000,0.410000
0.700000,-0.630000,2.280000,139.740000,88.160000,-113.480000,0.790000
0.660000,-0.500000,2.230000,-122.750000,90.000000,-37.700000,0.340000
0.600000,-0.290000,2.230000,-48.710000,88.290000,-35.720000,0.810000
0.690000,-0.150000,2.230000,-47.430000,85.960000,-34.200000,2.000000
0.600000,0.010000,2.200000,-46.440000,83.960000,-32.850000,3.000000
0.520000,0.030000,2.130000,-45.630000,81.760000,-34.200000,1.000000
0.430000,0.130000,2.130000,-47.550000,79.340000,-36.290000,0.000000
0.470000,0.280000,2.060000,-50.080000,76.680000,-37.690000,0.030000
0.320000,0.450000,1.870000,-52.050000,73.840000,-38.680000,0.020000
0.190000,0.460000,1.700000,-53.620000,71.050000,-39.400000,9.000000
0.060000,0.610000,1.550000,-54.860000,68.460000,-40.240000,2.000000
-0.090000,0.760000,1.360000,-55.990000,66.170000,-41.580000,78.000000
-0.150000,0.760000,1.220000,-57.200000,64.160000,-43.570000,42.000000
-0.190000,0.770000,1.190000,-58.600000,62.360000,-46.080000,0.020000
-0.140000,0.810000,1.170000,-60.200000,60.820000,-49.150000,-84.870000
-0.040000,0.810000,1.130000,-62.140000,59.500000,-52.690000,-0.030000
0.090000,0.770000,1.130000,-64.430000,58.310000,-56.700000,44.000000
0.260000,0.770000,1.080000,-67.080000,57.210000,-60.960000,0.000000
0.420000,0.770000,0.980000,-69.980000,56.080000,-65.340000,4.000000
0.520000,0.740000,0.920000,-72.950000,54.810000,-69.580000,0.000000
0.690000,0.740000,0.880000,-75.700000,53.540000,-73.500000,87.330000
0.780000,0.700000,0.830000,-78.110000,52.410000,-77.070000,0.530000
0.810000,0.620000,0.820000,-80.100000,51.510000,-80.470000,0.530000
0.870000,0.570000,0.840000,-81.790000,50.850000,-83.740000,6.000000
0.940000,0.520000,0.860000,-83.250000,50.430000,-86.900000,0.410000
0.960000,0.450000,0.900000,-84.620000,50.170000,-90.020000,0.380000
0.970000,0.410000,0.850000,-86.020000,50.020000,-93.220000,9.000000
0.970000,0.410000,0.760000,-87.550000,49.870000,-96.670000,121.700000
1.010000,0.400000,0.660000,-89.400000,49.690000,-100.540000,84.000000
1.060000,0.340000,0.550000,-91.740000,49.450000,-104.830000,-0.010000
1.150000,0.250000,0.520000,-94.540000,49.220000,-109.340000,0.420000
1.200000,0.200000,1.590000,-97.600000,49.090000,-87.500000,-0.020000
1.210000,0.150000,1.770000,-74.240000,65.680000,-83.200000,86.000000
1.900000,0.130000,1.960000,-69.860000,66.620000,-78.570000,0.210000
1.860000,-0.500000,2.120000,-65.340000,67.440000,-73.980000,6.000000
1.780000,-0.480000,2.270000,-61.050000,68.240000,-69.840000,0.390000
1.770000,-0.620000,2.410000,-57.490000,69.010000,-65.920000,6.000000
1.730000,-0.800000,2.520000,-54.550000,69.770000,-61.720000,0.130000
1.630000,-0.900000,2.590000,-51.840000,70.550000,-57.170000,0.120000
1.490000,-1.020000,2.680000,-49.230000,71.300000,-52.560000,7.000000
1.360000,-1.110000,2.840000,-46.860000,71.960000,-48.270000,0.060000
1.210000,-1.210000,3.000000,-45.090000,72.560000,-44.810000,-0.120000
1.050000,-1.320000,3.060000,-44.260000,73.050000,-42.350000,-0.010000
0.950000,-1.430000,3.070000,-44.270000,73.140000,-40.380000,0.170000
0.800000,-1.380000,3.050000,-44.660000,72.730000,-39.020000,79.000000
0.770000,-1.260000,2.980000,-45.430000,71.770000,-38.490000,9.000000
0.790000,-1.280000,2.870000,-46.820000,70.270000,-38.230000,0.180000
0.830000,-1.150000,2.770000,-48.350000,68.360000,-37.860000,0.190000
0.770000,-0.890000,2.660000,-49.810000,66.120000,-37.520000,7.000000
0.550000,-0.690000,2.520000,-51.320000,63.660000,-37.440000,0.770000
0.370000,-0.470000,2.390000,-52.980000,61.120000,-37.610000,-159.790000
0.280000,-0.270000,2.320000,-54.770000,58.680000,-38.230000,0.760000
0.200000,-0.140000,2.250000,-56.940000,56.390000,-39.320000,2.000000
0.200000,-0.040000,2.230000,-59.430000,54.300000,-41.040000,8.000000
0.260000,0.100000,2.240000,-62.340000,52.400000,-43.290000,8.000000
